ID,Premise_S1_U,Premise_S1_D,Premise_S1_C,Premise_S2_U,Premise_S2_D,Premise_S2_C,Premise_S3_U,Premise_S3_D,Premise_S3_C,Inference_S2_U,Inference_S2_D,Inference_S2_C,Inference_S3_U,Inference_S3_D,Inference_S3_C,Inference_S2_U_Dist1,Inference_S2_U_Dist2,Inference_S2_D_Dist1,Inference_S2_D_Dist2,Inference_S2_C_Dist1,Inference_S2_C_Dist2,Inference_S3_U_Dist1,Inference_S3_U_Dist2,Inference_S3_D_Dist1,Inference_S3_D_Dist2,Inference_S3_C_Dist1,Inference_S3_C_Dist2,Anchor_S2_U,Anchor_S2_D,Anchor_S2_C,Anchor_S3_U,Anchor_S3_D,Anchor_S3_C
Participant_2,0.625,0.55,0.725,0.475,0.75,0.75,0.6,0.575,0.8,0.375,0.666666666666667,0.333333333333333,0.166666666666667,0.833333333333333,0.416666666666667,0.25,0.625,0.625,0.75,0.0625,0.875,0.1875,0.125,0.875,0.75,0.125,1,0.5,0.5,1,0.166666666666667,0.833333333333333,0.416666666666667
Participant_3,0.95,1,1,0.95,0.975,1,0.65,0.75,0.875,0.25,0.958333333333333,0.958333333333333,0.25,1,1,0.375,0,0.9375,1,0.9375,1,0.25,0.25,1,1,1,1,0,1,1,0.25,1,1
Participant_5,0.425,0.575,0.975,0.275,0.675,1,0.2,0.575,0.625,0.666666666666667,0.458333333333333,0.333333333333333,0.666666666666667,0.416666666666667,0.25,0.5,1,0.5,0.375,0.5,0,0.5,1,0.5,0.25,0.25,0.25,0,0.875,1,0.666666666666667,0.416666666666667,0.25
Participant_6,0.925,0.75,0.85,1,0.775,0.95,0.55,0.8,0.75,1,0.541666666666667,0.916666666666667,0.958333333333333,0.708333333333333,0.958333333333333,1,1,0.4375,0.75,0.875,1,0.9375,1,0.6875,0.75,0.9375,1,1,0.875,1,0.958333333333333,0.708333333333333,0.958333333333333
Participant_8,0.8,0.775,1,0.75,0.775,1,0.675,0.625,0.65,0.416666666666667,0.125,1,0.541666666666667,1,0.708333333333333,0.5,0.25,0.125,0.125,1,1,0.625,0.375,1,1,0.625,0.875,0.25,1,1,0.541666666666667,1,0.708333333333333
Participant_10,0.6,0.575,0.55,0.6,0.6,0.425,0.55,0.525,0.45,0.416666666666667,0.208333333333333,0.541666666666667,0.5,0.166666666666667,0.458333333333333,0.375,0.5,0.1875,0.25,0.5,0.625,0.4375,0.625,0.1875,0.125,0.4375,0.5,0.875,0.75,0.5,0.5,0.166666666666667,0.458333333333333
Participant_11,1,0.7,0.6,1,0.825,0.625,0.875,0.775,0.7,0.958333333333333,0.833333333333333,0.333333333333333,1,0.833333333333333,0.666666666666667,0.9375,1,0.75,1,0.1875,0.625,1,1,0.75,1,0.625,0.75,0.875,1,1,1,0.833333333333333,0.666666666666667
Participant_12,0.975,0.75,0.975,0.925,0.8,0.975,0.775,0.7,1,0.958333333333333,0.75,0.333333333333333,0.5,0.625,0.333333333333333,0.9375,1,0.625,1,0.5,0,0.3125,0.875,0.5625,0.75,0.5,0,0.875,1,1,0.5,0.625,0.333333333333333
Participant_14,0.625,0.5,0.75,0.8,0.425,0.875,0.775,0.25,0.85,0.583333333333333,0.166666666666667,0.958333333333333,0.666666666666667,0.166666666666667,0.916666666666667,0.4375,0.875,0.25,0,0.9375,1,0.5,1,0.25,0,0.875,1,0.375,1,0,0.666666666666667,0.166666666666667,0.916666666666667
Participant_15,1,0.975,1,0.875,0.85,0.875,0.65,0.525,0.55,0.791666666666667,0.291666666666667,0.625,0.666666666666667,0.625,0.416666666666667,0.6875,1,0.3125,0.25,0.5625,0.75,0.625,0.75,0.625,0.625,0.375,0.5,0.875,0.875,0.875,0.666666666666667,0.625,0.416666666666667
Participant_16,1,0.875,0.95,0.925,0.75,0.975,0.775,0.75,0.55,0.958333333333333,0.0833333333333333,0.333333333333333,0.958333333333333,0,0.291666666666667,0.9375,1,0.125,0,0.4375,0.125,0.9375,1,0,0,0.375,0.125,1,1,1,0.958333333333333,0,0.291666666666667
Participant_17,0.75,0.55,0.525,0.75,0.675,0.55,0.625,0.65,0.45,0.625,0.666666666666667,0.291666666666667,0.75,0.666666666666667,0.125,0.5,0.875,0.5625,0.875,0.3125,0.25,0.625,1,0.75,0.5,0.1875,0,0.875,0.875,1,0.75,0.666666666666667,0.125
Participant_19,0.65,0.75,0.675,0.6,0.8,0.75,0.625,0.575,0.675,0.583333333333333,0.5,0.25,0.458333333333333,0.75,0.375,0.5,0.75,0.375,0.75,0.1875,0.375,0.3125,0.75,0.625,1,0.3125,0.5,0.875,1,1,0.458333333333333,0.75,0.375
Participant_21,0.7,0.5,0.35,0.7,0.4,0.3,0.675,0.525,0.55,0.333333333333333,0.166666666666667,0.416666666666667,0.291666666666667,0.458333333333333,0.625,0,1,0.125,0.25,0.375,0.5,0.0625,0.75,0.4375,0.5,0.625,0.625,1,0.75,0.75,0.291666666666667,0.458333333333333,0.625
Participant_22,0.95,1,0.975,1,0.95,0.975,0.75,0.725,0.825,0,0.5,0.833333333333333,0.25,0.416666666666667,0.75,0,0,0.375,0.75,0.8125,0.875,0,0.75,0.3125,0.625,0.875,0.5,1,1,1,0.25,0.416666666666667,0.75
Participant_23,0.975,0.875,1,1,0.975,1,1,0.975,1,1,0.958333333333333,0.958333333333333,1,1,1,1,1,1,0.875,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,1
Participant_26,0.775,0.775,0.575,0.675,0.675,0.55,0.5,0.55,0.625,0.0833333333333333,0.208333333333333,0.333333333333333,0.458333333333333,0.458333333333333,0.333333333333333,0.0625,0.125,0.25,0.125,0.5,0,0.6875,0,0.4375,0.5,0.4375,0.125,0.875,1,0.875,0.458333333333333,0.458333333333333,0.333333333333333
Participant_27,0.525,0.525,0.6,0.675,0.65,0.625,NaN,NaN,NaN,0.833333333333333,0.666666666666667,0.416666666666667,NaN,NaN,NaN,0.875,0.75,0.6875,0.625,0.625,0,NaN,NaN,NaN,NaN,NaN,NaN,1,0.625,1,NaN,NaN,NaN
Participant_28,0.9,1,0.95,0.875,0.975,0.975,NaN,NaN,NaN,0.666666666666667,0.333333333333333,0.5,NaN,NaN,NaN,0.625,0.75,0.4375,0.125,0.5625,0.375,NaN,NaN,NaN,NaN,NaN,NaN,0,0.375,0,NaN,NaN,NaN
Participant_29,0.725,0.475,0.6,0.75,0.475,0.5,NaN,NaN,NaN,0.958333333333333,0.25,0.5,NaN,NaN,NaN,1,0.875,0.3125,0.125,0.5625,0.375,NaN,NaN,NaN,NaN,NaN,NaN,0.625,1,0.875,NaN,NaN,NaN
